Sample,Am easily annoyed by others.,Often lose my temper.,Stay angry for a long time.,Am angry most of the time.,Get angry frequently.,Lose temper easily.,Total Raw Score (TR),Avg Total Score (ATS),End Result Label
Sample 1,1,1,1,1,1,1,6,1.00,None
Sample 2,1,1,1,1,1,1,6,1.00,None
Sample 3,1,1,1,1,1,1,6,1.00,None
Sample 4,1,1,1,1,1,1,6,1.00,None
Sample 5,1,1,1,1,1,1,6,1.00,None
Sample 6,1,1,1,1,1,1,6,1.00,None
Sample 7,1,1,1,1,1,1,6,1.00,None
Sample 8,1,1,1,1,1,1,6,1.00,None
Sample 9,1,1,1,1,1,1,6,1.00,None

Sample 10,1,1,1,1,1,2,7,1.17,Mild-Moderate
Sample 11,1,1,1,1,2,2,8,1.33,Mild-Moderate
Sample 12,1,1,1,2,2,2,9,1.50,Mild-Moderate
Sample 13,1,1,2,2,2,2,10,1.67,Mild-Moderate
Sample 14,1,2,2,2,2,2,11,1.83,Mild-Moderate
Sample 15,2,2,2,2,2,2,12,2.00,Mild-Moderate

Sample 16,2,2,2,2,2,3,13,2.17,Moderate-Severe
Sample 17,2,2,2,3,2,3,14,2.33,Moderate-Severe
Sample 18,2,3,2,3,3,2,15,2.50,Moderate-Severe
Sample 19,3,2,3,2,3,2,15,2.50,Moderate-Severe
Sample 20,3,3,2,2,3,3,16,2.67,Moderate-Severe
Sample 21,3,3,3,2,3,2,16,2.67,Moderate-Severe
Sample 22,3,3,3,3,2,2,16,2.67,Moderate-Severe
Sample 23,3,3,3,3,3,2,17,2.83,Moderate-Severe
Sample 24,3,3,3,3,3,3,18,3.00,Moderate-Severe
Sample 25,3,3,3,3,3,3,18,3.00,Moderate-Severe

Sample 26,1,1,1,1,1,1,6,1.00,None
Sample 27,1,1,1,1,1,1,6,1.00,None
Sample 28,1,1,1,1,1,1,6,1.00,None

Sample 29,1,1,1,1,1,2,7,1.17,Mild-Moderate
Sample 30,1,1,1,1,2,2,8,1.33,Mild-Moderate
Sample 31,1,1,1,2,2,2,9,1.50,Mild-Moderate
Sample 32,1,1,2,2,2,2,10,1.67,Mild-Moderate
Sample 33,1,2,2,2,2,2,11,1.83,Mild-Moderate
Sample 34,2,2,2,2,2,2,12,2.00,Mild-Moderate

Sample 35,2,2,2,2,2,3,13,2.17,Moderate-Severe
Sample 36,2,2,2,3,2,3,14,2.33,Moderate-Severe
Sample 37,2,3,2,3,3,2,15,2.50,Moderate-Severe
Sample 38,3,2,3,2,3,2,15,2.50,Moderate-Severe
Sample 39,3,3,2,2,3,3,16,2.67,Moderate-Severe
Sample 40,3,3,3,2,3,2,16,2.67,Moderate-Severe
Sample 41,3,3,3,3,2,2,16,2.67,Moderate-Severe
Sample 42,3,3,3,3,3,2,17,2.83,Moderate-Severe
Sample 43,3,3,3,3,3,3,18,3.00,Moderate-Severe
Sample 44,3,3,3,3,3,3,18,3.00,Moderate-Severe

Sample 45,1,1,1,1,1,1,6,1.00,None
Sample 46,1,1,1,1,1,1,6,1.00,None
Sample 47,1,1,1,1,1,1,6,1.00,None
Sample 48,1,1,1,1,1,1,6,1.00,None
Sample 49,1,1,1,1,1,1,6,1.00,None
Sample 50,1,1,1,1,1,1,6,1.00,None
Sample 51,1,1,1,1,1,1,6,1.00,None

Sample 52,2,2,2,2,2,2,12,2.00,Mild-Moderate
Sample 53,2,2,2,2,2,2,12,2.00,Mild-Moderate
Sample 54,2,2,2,2,2,2,12,2.00,Mild-Moderate

Sample 55,3,3,3,3,3,3,18,3.00,Moderate-Severe
Sample 56,3,3,3,3,3,3,18,3.00,Moderate-Severe
Sample 57,3,3,3,3,3,3,18,3.00,Moderate-Severe

Sample 58,2,2,2,2,2,2,12,2.00,Mild-Moderate
Sample 59,3,3,3,3,3,3,18,3.00,Moderate-Severe
Sample 60,2,2,2,2,2,2,12,2.00,Mild-Moderate
